"Application","Object","Object Name","Object Type","Hash","Policy","Result","URL","User Agent","Response Code","Subject","Version","Command","Reason","Action","Status","Session Type","Process Name","Process ID","Parent Process ID","Parent Process Name","Parent Process Path","Quantity","Amount","Size","Rate","Duration","Session","Known Application","Host (Impacted) KBytes Rcvd","Host (Impacted) KBytes Sent","Host (Impacted) KBytes Total","Host (Impacted) Packets Rcvd","Host (Impacted) Packets Sent","Host (Impacted) Packets Total","Classification","Common Event","Priority","Direction","Severity","Vendor Message ID","Vendor Info","MPE Rule Name","Threat Name","Threat ID","CVE","Host (Origin)","Host (Impacted)","MAC Address (Origin)","MAC Address (Impacted)","Interface (Origin)","Interface (Impacted)","IP Address (Origin)","IP Address (Impacted)","NAT IP Address (Origin)","NAT IP Address (Impacted)","Hostname (Origin)","Hostname (Impacted)","Known Host (Origin)","Known Host (Impacted)","Serial Number","User (Origin)","User (Impacted)","Sender","Recipient","Group","Entity (Origin)","Entity (Impacted)","Zone (Origin)","Zone (Impacted)","Location (Origin)","Location (Impacted)","Country (Origin)","Country (Impacted)","Region (Origin)","Region (Impacted)","Log Date","Log Count","Log Source Entity","Log Source Type","Log Source Host","Log Source","Log Sequence Number","Log Message","First Log Date","Last Log Date","Network (Origin)","Network (Impacted)","Domain (Impacted)","Domain (Origin)","Protocol","TCP/UDP Port (Origin)","TCP/UDP Port (Impacted)","NAT TCP/UDP Port (Origin)","NAT TCP/UDP Port (Impacted)","Rule Block","Actions","User (Origin) Identity","User (Impacted) Identity","Sender Identity","Recipient Identity"
"HTTP","http_inspect: multi_slash encoding","unknown",,,,,,,,"not suspicious traffic",,,,,,,,,,,,,,,,,,"HTTP",,,,,,,"Suspicious","Suspicious Activity",42,"Outbound","3","8",,"PreProc: 119:8 MULTI_SLASH ENCODING","http_inspect: multi_slash encoding",,,"172.29.66.249","217.20.58.98",,,,,"172.29.66.249","217.20.58.98",,,,,,,,,,"ftd-01",,,"Firewalls","Global Entity","Internal","External",,"France, 9 Boulevard du Palais, 75001 Paris, France, Paris",,"France",,"9 Boulevard du Palais, 75001 Paris, France","12/08/2024, 8:34:52 pm",1,"Firewalls","Syslog - Cisco FirePOWER","172.16.50.251","172.16.50.251 CiscoFirePOWER","37406172","12 08 2024 18:34:52 172.16.50.251 <SLOG:INFO> Dec  8 18:34:52 firepower SFIMS: [119:8:3] http_inspect: MULTI_SLASH ENCODING [Impact: Unknown] From ""FTD-01"" at Sun Dec  8 18:34:50 2024 UTC [Classification: Not Suspicious Traffic] [Priority: 3] {tcp} 172.29.66.249:57317 (unknown)->217.20.58.98:80 (unknown)",1733675692213,1733675692213,,,,,"TCP",57317,80,,,,,,,,
"HTTP","http_inspect: multi_slash encoding","unknown",,,,,,,,"not suspicious traffic",,,,,,,,,,,,,,,,,,"HTTP",,,,,,,"Suspicious","Suspicious Activity",42,"Outbound","3","8",,"PreProc: 119:8 MULTI_SLASH ENCODING","http_inspect: multi_slash encoding",,,"172.29.66.66","217.20.58.99",,,,,"172.29.66.66","217.20.58.99",,,,,,,,,,"ftd-01",,,"Firewalls","Global Entity","Internal","External",,"France, 9 Boulevard du Palais, 75001 Paris, France, Paris",,"France",,"9 Boulevard du Palais, 75001 Paris, France","12/08/2024, 8:29:48 pm",1,"Firewalls","Syslog - Cisco FirePOWER","172.16.50.251","172.16.50.251 CiscoFirePOWER","37391975","12 08 2024 18:29:48 172.16.50.251 <SLOG:INFO> Dec  8 18:29:48 firepower SFIMS: [119:8:3] http_inspect: MULTI_SLASH ENCODING [Impact: Unknown] From ""FTD-01"" at Sun Dec  8 18:29:47 2024 UTC [Classification: Not Suspicious Traffic] [Priority: 3] {tcp} 172.29.66.66:64907 (unknown)->217.20.58.99:80 (unknown)",1733675388215,1733675388215,,,,,"TCP",64907,80,,,,,,,,
"HTTP","http_inspect: multi_slash encoding","unknown",,,,,,,,"not suspicious traffic",,,,,,,,,,,,,,,,,,"HTTP",,,,,,,"Suspicious","Suspicious Activity",42,"Outbound","3","8",,"PreProc: 119:8 MULTI_SLASH ENCODING","http_inspect: multi_slash encoding",,,"172.29.66.66","146.75.122.172",,,,,"172.29.66.66","146.75.122.172",,,,,,,,,,"ftd-01",,,"Firewalls","Global Entity","Internal","External",,"Germany, Hessen, Frankfurt Am Main",,"Germany",,"Hessen","12/08/2024, 8:28:58 pm",1,"Firewalls","Syslog - Cisco FirePOWER","172.16.50.251","172.16.50.251 CiscoFirePOWER","37389545","12 08 2024 18:28:58 172.16.50.251 <SLOG:INFO> Dec  8 18:28:58 firepower SFIMS: [119:8:3] http_inspect: MULTI_SLASH ENCODING [Impact: Unknown] From ""FTD-01"" at Sun Dec  8 18:28:56 2024 UTC [Classification: Not Suspicious Traffic] [Priority: 3] {tcp} 172.29.66.66:64733 (unknown)->146.75.122.172:80 (unknown)",1733675338217,1733675338217,,,,,"TCP",64733,80,,,,,,,,
"HTTP","http_inspect: multi_slash encoding","unknown",,,,,,,,"not suspicious traffic",,,,,,,,,,,,,,,,,,"HTTP",,,,,,,"Suspicious","Suspicious Activity",42,"Outbound","3","8",,"PreProc: 119:8 MULTI_SLASH ENCODING","http_inspect: multi_slash encoding",,,"172.29.66.66","146.75.122.172",,,,,"172.29.66.66","146.75.122.172",,,,,,,,,,"ftd-01",,,"Firewalls","Global Entity","Internal","External",,"Germany, Hessen, Frankfurt Am Main",,"Germany",,"Hessen","12/08/2024, 8:28:58 pm",1,"Firewalls","Syslog - Cisco FirePOWER","172.16.50.251","172.16.50.251 CiscoFirePOWER","37389544","12 08 2024 18:28:58 172.16.50.251 <SLOG:INFO> Dec  8 18:28:58 firepower SFIMS: [119:8:3] http_inspect: MULTI_SLASH ENCODING [Impact: Unknown] From ""FTD-01"" at Sun Dec  8 18:28:57 2024 UTC [Classification: Not Suspicious Traffic] [Priority: 3] {tcp} 172.29.66.66:64736 (unknown)->146.75.122.172:80 (unknown)",1733675338217,1733675338217,,,,,"TCP",64736,80,,,,,,,,
"HTTP","http_inspect: multi_slash encoding","unknown",,,,,,,,"not suspicious traffic",,,,,,,,,,,,,,,,,,"HTTP",,,,,,,"Suspicious","Suspicious Activity",42,"Outbound","3","8",,"PreProc: 119:8 MULTI_SLASH ENCODING","http_inspect: multi_slash encoding",,,"172.29.70.97","151.101.122.172",,,,,"172.29.70.97","151.101.122.172",,,,,,,,,,"ftd-01",,,"Firewalls","Global Entity","Internal","External",,"France, 9 Boulevard du Palais, 75001 Paris, France, Paris",,"France",,"9 Boulevard du Palais, 75001 Paris, France","12/08/2024, 8:25:05 pm",1,"Firewalls","Syslog - Cisco FirePOWER","172.16.50.251","172.16.50.251 CiscoFirePOWER","37376846","12 08 2024 18:25:05 172.16.50.251 <SLOG:INFO> Dec  8 18:25:05 firepower SFIMS: [119:8:3] http_inspect: MULTI_SLASH ENCODING [Impact: Unknown] From ""FTD-01"" at Sun Dec  8 18:25:03 2024 UTC [Classification: Not Suspicious Traffic] [Priority: 3] {tcp} 172.29.70.97:60076 (unknown)->151.101.122.172:80 (unknown)",1733675105217,1733675105217,,,,,"TCP",60076,80,,,,,,,,
"HTTP","http_inspect: multi_slash encoding","unknown",,,,,,,,"not suspicious traffic",,,,,,,,,,,,,,,,,,"HTTP",,,,,,,"Suspicious","Suspicious Activity",42,"Outbound","3","8",,"PreProc: 119:8 MULTI_SLASH ENCODING","http_inspect: multi_slash encoding",,,"172.29.70.97","151.101.122.172",,,,,"172.29.70.97","151.101.122.172",,,,,,,,,,"ftd-01",,,"Firewalls","Global Entity","Internal","External",,"France, 9 Boulevard du Palais, 75001 Paris, France, Paris",,"France",,"9 Boulevard du Palais, 75001 Paris, France","12/08/2024, 8:24:34 pm",1,"Firewalls","Syslog - Cisco FirePOWER","172.16.50.251","172.16.50.251 CiscoFirePOWER","37375113","12 08 2024 18:24:34 172.16.50.251 <SLOG:INFO> Dec  8 18:24:34 firepower SFIMS: [119:8:3] http_inspect: MULTI_SLASH ENCODING [Impact: Unknown] From ""FTD-01"" at Sun Dec  8 18:24:31 2024 UTC [Classification: Not Suspicious Traffic] [Priority: 3] {tcp} 172.29.70.97:60065 (unknown)->151.101.122.172:80 (unknown)",1733675074217,1733675074217,,,,,"TCP",60065,80,,,,,,,,
"HTTP","http_inspect: multi_slash encoding","unknown",,,,,,,,"not suspicious traffic",,,,,,,,,,,,,,,,,,"HTTP",,,,,,,"Suspicious","Suspicious Activity",42,"Outbound","3","8",,"PreProc: 119:8 MULTI_SLASH ENCODING","http_inspect: multi_slash encoding",,,"172.29.71.7","151.101.122.172",,,,,"172.29.71.7","151.101.122.172",,,,,,,,,,"ftd-01",,,"Firewalls","Global Entity","Internal","External",,"France, 9 Boulevard du Palais, 75001 Paris, France, Paris",,"France",,"9 Boulevard du Palais, 75001 Paris, France","12/08/2024, 8:18:30 pm",1,"Firewalls","Syslog - Cisco FirePOWER","172.16.50.251","172.16.50.251 CiscoFirePOWER","37355726","12 08 2024 18:18:30 172.16.50.251 <SLOG:INFO> Dec  8 18:18:30 firepower SFIMS: [119:8:3] http_inspect: MULTI_SLASH ENCODING [Impact: Unknown] From ""FTD-01"" at Sun Dec  8 18:18:28 2024 UTC [Classification: Not Suspicious Traffic] [Priority: 3] {tcp} 172.29.71.7:65469 (unknown)->151.101.122.172:80 (unknown)",1733674710214,1733674710214,,,,,"TCP",65469,80,,,,,,,,
"HTTP","http_inspect: multi_slash encoding","unknown",,,,,,,,"not suspicious traffic",,,,,,,,,,,,,,,,,,"HTTP",,,,,,,"Suspicious","Suspicious Activity",42,"Outbound","3","8",,"PreProc: 119:8 MULTI_SLASH ENCODING","http_inspect: multi_slash encoding",,,"172.29.71.7","151.101.122.172",,,,,"172.29.71.7","151.101.122.172",,,,,,,,,,"ftd-01",,,"Firewalls","Global Entity","Internal","External",,"France, 9 Boulevard du Palais, 75001 Paris, France, Paris",,"France",,"9 Boulevard du Palais, 75001 Paris, France","12/08/2024, 8:18:30 pm",1,"Firewalls","Syslog - Cisco FirePOWER","172.16.50.251","172.16.50.251 CiscoFirePOWER","37355727","12 08 2024 18:18:30 172.16.50.251 <SLOG:INFO> Dec  8 18:18:30 firepower SFIMS: [119:8:3] http_inspect: MULTI_SLASH ENCODING [Impact: Unknown] From ""FTD-01"" at Sun Dec  8 18:18:28 2024 UTC [Classification: Not Suspicious Traffic] [Priority: 3] {tcp} 172.29.71.7:65465 (unknown)->151.101.122.172:80 (unknown)",1733674710214,1733674710214,,,,,"TCP",65465,80,,,,,,,,
"HTTP","http_inspect: multi_slash encoding","unknown",,,,,,,,"not suspicious traffic",,,,,,,,,,,,,,,,,,"HTTP",,,,,,,"Suspicious","Suspicious Activity",42,"Outbound","3","8",,"PreProc: 119:8 MULTI_SLASH ENCODING","http_inspect: multi_slash encoding",,,"172.29.71.7","151.101.122.172",,,,,"172.29.71.7","151.101.122.172",,,,,,,,,,"ftd-01",,,"Firewalls","Global Entity","Internal","External",,"France, 9 Boulevard du Palais, 75001 Paris, France, Paris",,"France",,"9 Boulevard du Palais, 75001 Paris, France","12/08/2024, 8:18:30 pm",1,"Firewalls","Syslog - Cisco FirePOWER","172.16.50.251","172.16.50.251 CiscoFirePOWER","37355725","12 08 2024 18:18:30 172.16.50.251 <SLOG:INFO> Dec  8 18:18:30 firepower SFIMS: [119:8:3] http_inspect: MULTI_SLASH ENCODING [Impact: Unknown] From ""FTD-01"" at Sun Dec  8 18:18:28 2024 UTC [Classification: Not Suspicious Traffic] [Priority: 3] {tcp} 172.29.71.7:65467 (unknown)->151.101.122.172:80 (unknown)",1733674710214,1733674710214,,,,,"TCP",65467,80,,,,,,,,
"HTTP","http_inspect: multi_slash encoding","currently not vulnerable",,,,,,,,"not suspicious traffic",,,,,,,,,,,,,,,,,,"HTTP",,,,,,,"Suspicious","Suspicious Activity",42,"Outbound","3","8",,"PreProc: 119:8 MULTI_SLASH ENCODING","http_inspect: multi_slash encoding",,,"172.31.162.227","146.75.122.172",,,,,"172.31.162.227","146.75.122.172",,,,,,,,,,"ftd-01",,,"Firewalls","Global Entity","Internal","External",,"Germany, Hessen, Frankfurt Am Main",,"Germany",,"Hessen","12/08/2024, 8:17:21 pm",1,"Firewalls","Syslog - Cisco FirePOWER","172.16.50.251","172.16.50.251 CiscoFirePOWER","37352051","12 08 2024 18:17:21 172.16.50.251 <SLOG:INFO> Dec  8 18:17:21 firepower SFIMS: [119:8:3] http_inspect: MULTI_SLASH ENCODING [Impact: Currently Not Vulnerable] From ""FTD-01"" at Sun Dec  8 18:17:20 2024 UTC [Classification: Not Suspicious Traffic] [Priority: 3] {tcp} 172.31.162.227:51430 (unknown)->146.75.122.172:80 (unknown)",1733674641213,1733674641213,,,,,"TCP",51430,80,,,,,,,,
